file_name,transcript,duration
-6418406677255623409.wav, How's it going? Comment which ones are called regionalлавian. Fundress,5.168496199999936
-6864977951898798107.wav, The bomb is this,0.7220736999879591
-6945221211508557363.wav, weiter.,2.4785818999516778
-7155928024945667670.wav, Spiel im Musik von George Ezra.,0.790585300012026
-7229002595491170769.wav, V Provost us,2.540851700003259
-7252711668098592248.wav, Would ich meine und der hat ja YLT... N Stresslag. Ja.acht2019,4.143854199966881
-7443419035393087802.wav, The bomb is just...,0.7140217999694869
-781029990973593338.wav, Spielu Music from George Ezra,0.7605784999905154
-7939437697514526047.wav, Das muss man so der neuron eigenheit하�tem mal beisektizates um damit aufh registered.,4.401762199995574
-8065899717403272559.wav, Schalten die Schreibtisch Lampere an.,0.826614499965217
-8307350171193249867.wav, Wie war es das?,0.6915273999911733
-8335639914664763388.wav, Da wir Gavin Fizen go ausxes poquito Sinn haben.,3.549482799950056
-8649899826203028995.wav, Mizaldasın tak distancing,3.0467739999876358
-8662109648862597665.wav, Wie soll das Wetter morgen werden?,0.8117254999815486
-908364769289161658.wav, Stelle einen Timer auf einem Lute.,0.8078756000031717
-9104485477497906919.wav, The bottom is this.,0.7467585999984294
-9219321921546923899.wav, Next up!,0.692998600017745
-929089241157026089.wav," Who, 만�list News?",2.723686599987559
1335384650698003817.wav, Scheiße das nicht aus.,0.7388284999760799
1374573672542296298.wav, Speer and muziek from George S.R.,1.3896295999875292
1833840819915314940.wav, Schaltet das Licht an.,0.7155513999750838
1966185051758695485.wav, stop,0.6583861000253819
2188972486889499368.wav, The bottom is this.,0.7044841999886557
2274781927739465012.wav, Schaltet die Schreibtisch nach dem Voraus.,1.34890829998767
2586052084078713988.wav, We've all done sweat up there.,0.7875632999930531
2624689785381335944.wav,,7.701381599996239
2881523674983819536.wav, Weiche Temperatur haben wir,1.2179409000091255
2916361586207181553.wav, Stop,0.6419329000054859
2986317971933442551.wav, Scheiße das Licht aus.,0.732919700036291
3262439443875331043.wav, Stop.,0.6748473000479862
3640707785575690295.wav, muss derIGH0 markiert vielleicht europ Dieses ran por,3.172997799993027
3902190776610544951.wav, A Nouience Shop,2.4322034000069834
3915342670113925279.wav,,0.6792253999738023
4111649670161357313.wav, Mach ihr die Schreibtisch Lamperella.,0.8603197000338696
4157860984905643438.wav, Neville must.,2.9040932999923825
4297305495353333258.wav, Schreibt die Schreibtischnampe und die Leselampe aus.,0.988299599965103
430710197275474663.wav," das ist wirklich echt echte Ipsdr.. ja, ich finde es.. also du..",4.7740496000042185
4675182390853274760.wav, the bomb,2.8645707999821752
5115702181349197496.wav,,0.660450600029435
5384311615813345395.wav, The bomb is this.,0.750222800008487
5610610031047761799.wav, Weiter!,0.6737002999871038
5843144413122326437.wav, Schaltet die Schreibtisch Lampen her aus.,0.8580337999737822
5844629325737184626.wav, Stop.,0.6710478000459261
5951917220811449639.wav, Stelle ein Time auf 2 Minuten,0.7662868000334129
5971536822972356971.wav, Next is neat,0.669255200016778
6088370699404778503.wav, We back on this this,0.715083200018853
6188726337220268386.wav, in these bar manifestors,3.0732701000524685
6431265506843456988.wav, Schalten die Schreibtisch Lampere aus.,1.3348871999769472
6597993263760585011.wav, Stop.,0.7166466999915428
6664138523960726010.wav, Spielen meine Playlist work out.,0.7555804000003263
6802470049658644978.wav, Nächstes Lied,2.733141400036402
6926645521162084341.wav," Spíllő, resemblean csajj assban",3.6461068999487907
6986889402278993051.wav, Schaltet die schreibtisch lampbe aus,1.2544742999598384
7052143873203634884.wav, Wie warm ist du es draußen?,0.7501162000116892
7083240311905493680.wav, Schreibt die Schreibt des Lampern.,0.8411265999893658
7091800334075908445.wav,,4.509073699999135
7310200299914494569.wav, Wie warm ist das?,0.6963825999991968
735527555483722974.wav,,0.7829363999771886
7680640145764897002.wav, Schalten die Schreibtisch landen wir aus,0.8013024000101723
7801294207611410434.wav," Okay, jetzt haben wir schon. Außen.",0.840253800037317
7870915523432461361.wav, Stop.,0.6596066000056453
7978985906274968365.wav, hey.,2.7918077999493107
7984620597920634445.wav, Aber meinewanne متackekte Hello! Aber Sie vergem 천 Fans.,4.453708000015467
8096478510743381349.wav, weiter,0.7905462000053376
8145229645944103541.wav, Wie soll das weiter werden?,0.9632023999583907
8290046914643000611.wav, Spiel im Musik von George S.B.,0.8514083999907598
8434788237000945914.wav, Romance as fatal,3.520760900049936
8652738717293724797.wav, We promised us,0.981825899973046
8718191935873709757.wav, Schaltet die Schreibtischlampen an.,0.9543747000279836
8831544086666500354.wav, Schaltet die Schreibtisch lang über aus,0.9287198000238277
8884734985583247604.wav, Next time,0.7828266000142321
9115564353508009885.wav, Wie soll das mit dem Morgen werden?,0.9137820000178181
